ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
10519,100000,2,2,1,29,0,0,0,1,1,0,92859,80923,64065,75174,49992,59117,14265,39899,11856,16937,7057,20471
10520,120000,2,2,1,36,0,-2,2,2,3,-1,46264,132860,95793,105348,105555,43841,11832,2000,18008,5509,44216,4333
10521,200000,2,2,2,39,0,-1,-1,0,-1,1,96980,154935,184475,80502,186729,208470,44127,47638,86828,36467,13010,55935
10522,100000,1,2,1,30,-1,-1,0,2,5,-1,73203,-738,35377,38477,12999,43041,19281,0,9947,2335,5892,118
10523,1000000,2,2,2,32,3,2,-1,0,0,0,344158,364940,754307,74728,909674,160410,44116,179203,138050,34840,313071,73731
10524,30000,1,3,1,31,0,0,-1,-2,0,-1,41925,30733,-2396,14306,30382,23802,14405,6394,0,4110,3181,3369
10525,50000,2,2,2,48,0,1,-1,-1,-1,-1,63946,65854,28599,31864,37253,7899,25217,2426,11835,15369,15432,2149
10526,80000,2,2,1,35,0,0,-2,1,0,7,92641,15078,24337,30555,83417,20112,14124,5162,11839,9972,18124,1885
10527,30000,2,2,2,39,1,0,0,2,4,2,33417,18923,11942,26701,3526,-4396,3011,1205,4836,10073,1563,0
10528,80000,2,4,3,25,-1,0,-1,-1,-1,0,16517,10169,23527,43509,43494,23122,5517,5077,10190,16385,490,363
10529,250000,2,3,2,23,1,4,0,2,0,5,66342,41167,59381,65385,225903,17607,15083,2168,27620,28049,18088,6573
10530,150000,2,4,2,23,0,-1,2,-2,-1,2,54385,-1265,145306,84315,148397,9115,18536,0,15218,18080,6525,3637
10531,20000,2,4,1,37,-1,3,-1,0,0,0,11120,8356,15135,23011,14768,-5153,4459,448,6020,11059,4075,0
10532,1000000,2,1,2,27,0,-1,-2,3,0,0,265265,875853,646615,232153,550417,751772,108779,113012,145663,1587,249945,190524
10533,200000,2,3,2,27,2,-1,1,0,-1,0,145898,170391,152492,62703,-967,115605,11873,64067,1004,21797,0,15327
10534,20000,1,2,1,40,0,-1,0,-1,1,1,11653,21576,5771,2129,2804,16428,2656,4926,2639,23,142,6114
10535,200000,2,3,2,43,1,-1,1,-2,0,1,195358,138931,104467,63311,65396,37792,88823,52949,21556,30914,32496,1561
10536,100000,1,4,2,29,1,-1,1,0,0,0,39774,65926,21290,51447,50314,81221,10971,16355,7203,1952,16053,34670
10537,30000,1,3,2,21,0,-1,-1,-1,0,0,1639,23530,3201,25427,6174,5942,191,7170,1277,11422,1634,2970
10538,150000,1,3,2,22,0,4,0,-1,-1,1,76792,157362,25639,6140,24337,170549,15417,36107,1527,1345,8711,38446
10539,250000,2,3,2,21,-1,-1,0,0,-2,2,150777,74497,27109,106047,223580,182107,3738,31653,2537,19125,23869,52757
10540,200000,2,2,2,49,-1,1,0,-1,0,1,17559,229614,87909,56718,87676,52935,6581,43069,38395,21634,24392,25889
10541,50000,2,4,1,32,-1,-1,0,0,0,0,60513,43240,58014,27974,49248,50116,4276,2237,9431,563,17741,16520
10542,150000,2,2,2,24,0,0,1,1,-2,-1,38467,31495,100243,171866,95827,58893,9530,15711,35494,31137,40141,21685
10543,150000,1,1,2,50,0,-1,0,-1,-1,0,11907,28906,177767,31973,104819,120915,4933,10360,86667,14830,18381,14026
10544,200000,2,2,1,22,-2,-2,1,1,-1,-1,135064,208169,78882,43529,193017,237615,22674,28821,27458,20232,84417,113510
10545,80000,1,3,1,36,-1,0,-1,0,0,0,47288,57690,22219,76316,29923,54357,22967,18427,7303,31323,7268,2945
10546,250000,2,2,2,27,0,0,0,-1,2,-2,43564,249873,61752,250003,181715,10340,12543,47341,1925,62742,74859,4903
10547,200000,1,3,1,21,0,1,-1,-1,-1,-1,46931,221209,121643,156434,46823,40808,5435,43207,9299,22922,2070,17161
10548,20000,1,2,2,25,2,0,-1,0,-1,0,19852,26561,10667,3116,15565,-810,4136,6052,2178,1212,4585,0
10549,150000,1,2,1,45,3,-1,4,0,-2,-1,184225,68276,43408,60380,130209,120277,48228,6925,13329,11084,26477,33569
10550,300000,2,3,2,33,0,-1,0,0,-1,-1,27710,37021,171580,297262,33430,119709,5214,6934,4709,56035,12381,383
10551,150000,1,4,1,42,0,0,-1,0,2,0,-5151,33229,142169,73441,44331,27360,0,3912,19123,1437,4327,4957
10552,50000,2,2,2,29,-1,-1,0,-1,0,0,47295,21824,16637,6933,36191,21168,16403,1036,3563,583,8599,6025
10553,120000,1,3,2,28,-1,0,1,0,0,-1,133455,6971,3521,132925,141096,134338,265,98,1714,30506,34213,35868
10554,250000,1,5,1,31,2,0,0,0,0,-1,67418,107962,116617,210689,172786,2071,12745,33808,8964,74103,69412,667
10555,30000,2,2,2,44,-1,0,0,6,-1,0,23675,17164,22393,7967,-3867,10137,3922,2450,1803,1891,0,3920
10556,300000,2,2,2,29,-1,1,2,0,-1,4,102457,309846,217822,173040,253993,164778,29584,64901,98471,29996,66807,12194
10557,50000,2,1,1,26,3,-1,8,-1,2,5,35566,39040,32577,38847,46661,20102,1657,16981,9923,1605,23160,5789
10558,150000,1,2,2,22,1,0,0,-1,-1,0,6837,33056,28870,155506,134237,41521,1361,14134,11649,77576,18043,11298
10559,100000,2,2,1,29,-1,-1,0,2,0,0,47781,26066,42326,101964,103765,32572,22884,8607,19516,30809,27043,3726
10560,50000,1,2,2,22,0,2,-1,0,0,-1,18092,35052,55633,33323,32383,4543,5070,11330,24233,16151,11136,1393
10561,200000,2,1,1,54,0,-1,0,-1,-1,2,63471,124710,34106,188558,80950,57798,13502,46980,3280,62630,37682,7808
10562,20000,2,3,2,37,0,1,-1,-2,-1,-1,-8084,14362,15282,8572,10241,21430,0,3049,4811,1217,2028,5852
10563,250000,2,3,2,21,-1,3,-1,4,-1,-1,287333,48216,104858,90646,288699,44087,41338,18523,41406,7550,101896,7856
10564,150000,1,3,3,39,-1,-1,0,-1,0,-1,111417,119576,59410,35942,133011,168396,45259,47062,401,1300,9980,27849
10565,360000,1,2,1,29,0,-1,1,8,-1,1,176405,418041,256254,309802,43408,403589,75705,22860,73892,27033,16080,71628
10566,150000,2,1,2,35,0,5,2,1,-1,1,109890,151136,60745,175908,106546,7401,50797,23779,27263,58169,20304,1246
10567,20000,2,2,1,24,-1,0,-1,-1,8,-1,20808,14884,19348,588,-2298,19548,8917,7123,464,280,0,4421
10568,30000,2,3,1,33,-1,-1,2,0,-1,1,25918,7958,735,13622,2231,8089,9636,109,135,75,175,2475
10569,250000,2,3,1,37,-1,-1,1,0,0,0,260717,226878,224297,140000,244930,191789,62078,26192,59338,65448,29448,67701
10570,120000,2,3,1,32,0,0,-1,-2,-1,-1,77235,113729,40349,116501,7388,41872,28526,4231,15804,35489,3100,14438
10571,100000,1,2,1,43,3,1,1,-1,0,0,21849,24125,11580,46842,38483,91078,6812,6401,4035,23155,6010,28882
10572,80000,1,4,1,44,-1,0,-1,-1,0,-1,100678,22836,11859,65745,79134,90777,23755,10997,5417,10120,28474,27295
10573,80000,2,3,1,48,1,1,0,2,-1,1,59913,61172,20144,49384,24508,15974,9275,7473,1475,992,8489,4508
10574,800000,1,2,2,22,-1,1,-1,-1,0,-1,769589,549064,554172,385225,31298,378163,82113,246356,101031,176112,7256,4014
10575,100000,1,1,1,37,0,-1,-1,-1,-1,0,48781,37066,81822,65095,84279,113675,4679,2155,37420,13255,39668,30883
10576,360000,1,3,2,49,-1,0,-1,-1,1,-1,161268,402747,263974,33808,57803,349457,13923,20287,47064,208,7617,85236
10577,200000,1,3,1,30,-1,0,-1,2,0,-2,207914,213424,37325,45390,159265,49683,53654,60227,9727,3100,30589,4628
10578,300000,1,2,2,45,0,0,-1,5,-1,0,91754,315520,358704,237137,187007,2544,45283,107757,93298,43008,35652,1230
10579,300000,2,3,1,36,0,1,1,2,1,0,220467,305841,123561,227908,69853,145280,96330,14448,35898,36835,11516,33373
10580,500000,2,3,2,27,-1,-1,5,-1,0,0,431425,353999,227142,126626,20598,48384,46419,123730,63090,52187,3452,10525
10581,200000,2,3,1,30,0,0,0,0,-1,0,114529,27256,121627,56021,12892,66927,13326,5067,60547,26200,5436,13263
10582,300000,1,2,2,37,7,0,-1,0,-2,0,46976,240492,41254,75659,289501,163292,21329,22338,8363,23371,139218,40614
10583,250000,2,1,2,29,2,2,5,-1,0,-1,12145,82792,97641,135516,161699,274253,4384,3696,10734,63250,18798,131998
10584,200000,1,3,2,45,-2,1,-1,-1,1,0,130632,205013,216723,38225,57989,230157,49536,2541,20256,2279,23471,71306
10585,200000,2,2,2,41,0,-2,0,-1,1,0,54909,124896,200215,143762,227885,27044,26557,38769,85772,4007,108122,9633
10586,200000,1,2,2,31,0,0,-1,-1,0,-1,174565,37356,123542,187345,66339,66238,72924,544,33903,20397,12676,23331
10587,20000,2,2,1,22,0,1,0,0,1,-1,20884,-851,13088,13449,11272,11687,4351,0,1101,6441,3445,208
10588,120000,1,3,3,35,-2,-2,0,2,-1,-1,100169,28074,118207,75309,34568,141564,15083,6249,16668,3699,2764,48788
10589,250000,2,2,3,51,-1,1,1,-1,-1,1,133722,191823,128622,59888,233153,247069,45887,82995,36346,17170,46648,52784
10590,50000,1,2,2,44,-1,5,-1,-1,1,1,2529,22007,3887,16526,41082,56897,750,6205,1886,5321,14304,13117
10591,120000,2,4,2,44,0,-1,-2,0,4,-1,123659,61931,122565,137557,134987,93021,14518,12961,48131,21963,10916,41638
10592,100000,1,2,2,42,-1,0,0,0,0,-1,50235,71058,104350,78438,84571,87643,15908,2705,45461,27877,8939,26491
10593,100000,2,2,1,50,5,-2,-1,-1,2,-1,52706,91656,-91,23212,18016,89424,11329,40993,0,7978,6338,40765
10594,30000,1,1,2,37,1,1,0,0,-1,0,7966,22985,34625,15430,20474,25223,3323,150,9949,5853,312,7379
10595,150000,1,6,1,52,0,0,-1,0,1,0,170742,105091,130553,77858,82372,21017,39460,7371,31271,17122,11611,845
10596,100000,1,2,2,36,-1,-1,3,-1,0,2,87905,27594,119267,20773,30826,102954,24983,13119,17529,6990,8729,2427
10597,200000,2,3,2,32,-1,-1,-1,3,-1,1,130774,212653,98439,149616,146963,200974,9310,95103,13227,58147,45647,95013
10598,150000,2,1,2,48,0,5,0,0,-1,-1,89172,59495,24172,88333,55585,83556,19741,5205,5397,22610,410,24886
10599,20000,2,2,1,35,1,1,1,0,2,1,5780,25957,17787,-880,7441,1971,1458,4956,1638,0,2963,342
10600,20000,1,2,2,38,0,-1,0,-2,2,0,15587,9985,24690,52,17982,27487,1457,1110,5232,12,6716,7250
10601,200000,1,2,1,37,0,-1,0,-1,0,-1,133835,36585,147009,65716,46132,71016,8306,4921,12764,20158,22768,12661
10602,200000,1,3,2,41,0,1,-2,0,-2,0,174359,142020,23634,196745,70517,205013,50253,61846,8304,98118,33320,9997
10603,500000,2,3,2,35,2,-1,0,1,0,0,93225,232128,452304,151945,477501,50772,33236,64312,91562,51378,103537,24273
10604,360000,1,1,1,24,-1,-2,0,0,0,-1,134273,73387,244794,312217,129408,267408,24953,25332,49054,34356,14220,46651
10605,120000,2,2,1,41,-1,0,-1,0,2,-1,84903,118768,103153,25105,91624,60758,29070,58902,10449,11231,41746,2158
10606,200000,1,2,2,37,3,0,0,3,0,0,77563,135137,23392,52667,130984,120681,4183,27107,8198,11431,5317,24296
10607,120000,2,4,3,32,0,0,-1,0,0,0,126924,29612,96784,15322,76102,1747,62070,3356,34653,404,22963,387
10608,50000,2,2,2,27,5,1,-1,-1,-1,7,37954,10085,-2570,27776,9649,9389,3734,3748,0,7089,2114,502
10609,100000,2,2,2,41,0,-1,1,-1,-1,-1,15438,47645,10153,80555,22885,4978,2953,17160,1444,36852,6183,1865
10610,30000,1,5,1,26,4,0,1,-1,1,-1,22473,15162,6727,246,14040,42930,5349,5047,2990,21,2270,4167
10611,200000,2,6,1,29,-1,8,2,-2,0,0,11401,50413,102760,114174,99344,195984,1824,15313,35572,39647,24717,34898
10612,50000,2,2,1,21,-1,-1,1,0,-1,-1,56111,-1144,19979,19263,39378,8574,23700,0,3597,4169,1587,4178
10613,120000,2,2,1,32,0,-1,2,0,-1,3,79176,32867,32041,80961,104836,79041,38776,973,11399,28696,35268,5516
10614,800000,1,2,2,43,0,1,1,-1,0,-1,15815,693293,169314,639690,653222,358257,7886,317911,82506,51367,71271,36582
10615,20000,2,2,2,35,0,0,-1,0,-2,1,26299,12254,23145,18006,12858,14966,9319,2077,3354,2769,807,1004
10616,50000,1,6,2,25,6,0,3,0,4,0,17558,6885,13217,9944,16351,7503,8501,2770,2234,3055,2924,3394
10617,80000,2,2,1,49,0,3,0,-1,0,3,68652,23969,8250,63625,16439,67415,13969,9978,2012,12262,2333,31262
10618,500000,1,2,2,39,2,0,-1,-1,1,0,530123,563436,397270,123530,147457,421279,16182,211309,147362,10997,41756,162504
10619,360000,2,2,1,28,5,0,0,0,2,-1,67518,363945,178351,181189,283801,290526,14001,90605,12142,56289,52409,1440
10620,50000,2,3,1,37,3,-2,-1,1,-1,0,7079,45066,18685,14775,18981,25296,2314,3474,1603,466,8894,8814
10621,1000000,2,2,2,32,-1,1,-1,1,-1,-1,366792,177501,107630,1010900,931133,1038395,143086,19426,26521,116562,303678,189521
10622,250000,1,2,1,21,-1,-2,0,5,0,-1,192579,75358,19239,28364,210046,292824,95017,5792,3487,13808,81058,84243
10623,150000,2,2,1,39,-1,2,-1,-2,0,1,80454,42562,133552,109430,168780,157633,25627,7571,59877,4437,30029,35046
10624,500000,2,3,1,29,0,0,-2,2,-1,0,197307,381631,244569,320707,2844,252328,15432,110937,119648,124074,1360,21293
10625,360000,2,3,2,50,0,0,-1,0,-1,2,188722,144938,215680,342810,241667,55651,93137,12092,48954,108650,101262,14979
10626,100000,2,2,2,46,-1,0,-1,1,0,0,11259,69264,39887,90305,87358,22430,3043,32344,14462,19336,43663,7819
10627,200000,2,2,1,26,-2,4,0,-1,-1,-1,68098,105327,125583,83151,133916,173876,15444,21630,18420,16248,63207,7638
10628,200000,2,3,2,21,0,-1,0,-2,-1,1,47410,2597,65582,139293,227394,64601,10643,976,17811,164,10125,3004
10629,80000,2,2,2,31,0,-1,0,0,-1,1,40553,88817,72815,61187,69048,50692,13034,19858,33885,14655,23349,14420
10630,50000,2,1,1,42,1,0,0,1,-1,0,50986,1618,24502,37321,21742,19591,12527,421,7916,17620,3058,5867
10631,120000,1,2,1,40,3,-1,2,-1,0,-1,132739,83311,48922,39723,70521,117847,2251,16059,21635,11015,16309,34716
10632,50000,2,1,2,49,0,0,-1,1,0,-1,37185,8997,5859,51455,19091,38523,11422,4017,1502,14378,7894,160
10633,80000,1,6,1,36,0,-1,-2,-1,0,0,75025,94972,14925,79261,36161,-8014,16139,4885,2684,15116,17881,0
10634,500000,1,4,1,22,-1,3,1,-1,-1,0,408503,65031,323247,540583,537820,349435,48983,28896,142657,126885,83727,75782
10635,120000,2,5,2,31,0,0,2,-1,-1,0,17707,22714,91012,57266,119995,81966,5713,5167,2326,7551,2645,34892
10636,200000,2,3,1,23,-1,-1,-1,7,-1,0,191076,33181,99944,99134,38852,149913,67570,2872,37403,42632,14257,52197
10637,80000,1,1,2,44,-1,0,-2,0,2,0,95830,87346,87299,91315,50920,83146,39721,5912,3587,21871,11020,21325
10638,1000000,2,2,1,39,-1,2,-1,-2,-1,-1,454941,136666,196792,788448,529683,981689,110496,26865,95682,315458,61142,15229
10639,200000,1,3,2,29,1,-1,0,-1,0,0,46419,106150,160677,81282,102002,76477,17784,1742,49577,12184,47867,1256
10640,50000,1,2,2,34,0,-1,0,0,2,-2,58388,62967,7889,14349,12307,39546,11954,2430,675,4182,2419,5368
10641,30000,2,2,2,47,0,-1,-1,0,-1,1,11043,26639,28780,30440,39472,5805,5429,754,13206,1631,4338,1494
10642,500000,1,2,1,47,-1,-1,2,-1,1,-1,389205,364897,473272,132602,250327,153423,55478,144406,212449,52282,121230,73024
10643,500000,2,2,1,33,-1,-1,-2,-1,-1,-1,188770,532789,-4712,82752,561975,365704,38458,201006,0,34754,133432,54549
10644,200000,2,2,2,31,-1,1,0,0,1,0,133080,197667,225191,154922,145959,228803,20387,75554,97730,31583,44681,78680
10645,10000,2,3,2,43,0,-2,2,-1,-2,0,7770,4283,5595,-3723,8295,7739,459,925,1888,0,740,2024
10646,50000,1,3,2,29,0,-1,0,0,2,-1,22027,44640,44317,8662,26370,4308,10117,15108,1517,1478,3945,737
10647,300000,2,2,1,26,0,0,-1,1,-1,-1,126693,80197,181539,46863,348068,226992,10288,9682,49267,6418,24464,103738
10648,360000,1,3,1,37,-1,0,0,-1,3,2,256359,282943,89669,288998,434612,105734,37228,85824,35942,135499,9871,27261
10649,120000,2,2,2,33,2,0,1,-1,0,0,49130,100830,136627,4662,92050,26925,22243,18678,66747,756,13116,11846
10650,80000,1,4,2,30,1,-1,0,-1,3,0,26228,22268,1559,42269,38034,2514,6462,2484,624,887,10971,666
10651,80000,2,3,1,50,-1,0,2,-1,-1,0,54843,68754,80697,93867,-217,53380,3954,12300,6613,23753,0,11154
10652,30000,2,3,2,33,-1,-1,2,-1,-1,-1,20291,26993,14451,11202,13944,13974,5870,7057,3006,2803,3233,4827
10653,30000,2,2,1,32,0,-1,-1,0,0,-1,35689,24075,18264,30353,1311,29482,8345,6067,4013,9100,581,1226
10654,500000,2,3,1,32,0,0,8,0,2,-1,360602,217494,17345,381327,519773,491941,80041,60406,5777,54726,214464,207590
10655,300000,1,3,1,36,0,1,0,2,4,2,248280,295270,353528,161312,268044,256105,79773,101988,68518,20283,60421,2673
10656,50000,1,5,1,32,0,-1,3,0,0,-1,9578,55382,27641,36826,21042,-5582,1605,24454,5315,15104,5000,0
10657,50000,2,3,2,35,1,-1,6,-1,-1,0,8263,6641,60894,45407,57143,42766,2099,1409,16493,5782,1134,16667
10658,200000,1,2,2,21,-1,-1,-1,-2,3,1,228196,170579,6441,222071,109710,218144,78655,9913,2403,19897,19675,92699
10659,250000,2,3,1,24,0,1,-1,0,1,0,99272,262692,52201,2355,150460,93951,35555,43755,1481,2,9472,44226
10660,300000,2,2,2,48,2,0,0,0,-1,-1,151990,130776,309135,135068,191046,332516,70122,58837,96415,42696,26915,68956
10661,50000,1,2,1,44,0,-2,1,0,-1,-1,49319,8724,26603,31268,47952,42499,11042,3453,8846,8411,19240,227
10662,1000000,2,2,1,45,-1,3,2,-1,-1,-1,567242,262419,893584,958772,287691,1008242,32870,30757,383275,91893,75669,430422
10663,50000,2,2,2,33,1,-1,0,3,0,-1,38321,58571,55009,6809,43642,35327,16543,20868,23896,73,2482,762
10664,150000,2,1,2,24,0,0,0,1,0,0,30677,143261,95005,11646,77160,91814,14818,26146,13142,2776,12104,43398
10665,150000,1,3,1,43,0,0,1,0,-1,0,52629,35311,131580,47614,173807,167657,24737,5667,33341,10528,46109,64727
10666,800000,1,3,1,42,-1,-2,4,0,0,2,727309,223069,177361,826729,326133,926623,162222,20672,81236,235214,135940,153868
10667,200000,2,4,1,27,1,1,-1,0,0,0,69429,177507,208994,78077,73846,16209,28047,42804,93354,26793,13788,7282
10668,150000,2,2,1,59,-1,2,-1,-1,0,-1,74972,155518,177908,178678,173793,42221,5212,11445,86666,60216,8236,17717
10669,120000,1,2,1,40,0,3,1,-1,4,0,91900,104940,17785,110705,16839,44855,2414,18536,905,26824,3551,13926
10670,250000,2,3,2,42,0,-1,0,-1,0,-1,76740,97880,16434,52154,299091,101103,37502,36072,1395,14377,114534,25801
10671,30000,2,3,1,24,0,-1,0,0,-1,-2,9416,27157,27433,28443,33925,120,4385,8252,10041,499,16336,47
10672,10000,2,3,2,53,1,-1,-1,5,-1,-1,4988,-3161,8542,9758,-1325,8384,1132,0,1831,3748,0,3695
10673,500000,2,3,1,36,0,0,-1,7,-1,-1,458022,555495,354401,93874,566876,255041,162063,89991,149264,10680,52790,105593
10674,120000,2,2,1,40,0,1,0,0,-1,0,124463,130083,124034,89396,65706,98917,29551,62214,59515,23377,30167,28246
10675,80000,1,2,2,34,1,0,2,0,1,-1,21865,25516,44482,32421,55469,43211,4904,2542,12661,9551,22875,15832
10676,80000,2,2,1,39,-1,0,0,4,-2,5,27335,10421,17437,92321,10276,73559,2814,2058,1363,20127,4423,28523
10677,300000,2,3,1,22,4,0,0,4,0,0,186578,119040,215197,162238,108819,89879,72841,13796,35712,52718,993,35034
10678,100000,2,2,1,42,0,0,-1,-1,0,0,81022,17678,90617,109194,49576,4410,38125,8028,28219,33497,23831,1782
10679,250000,2,3,2,39,0,-1,-2,0,1,0,152876,165217,138387,125807,42432,77918,25526,73652,25941,23604,13457,31434
10680,100000,2,3,1,21,0,3,-1,2,-1,7,71922,81385,95084,62806,19805,59419,7804,10657,19799,1168,2648,27531
10681,300000,1,2,1,45,4,-1,-1,-1,-1,1,333023,94634,154618,256143,268278,66804,76586,3324,41393,53226,45565,458
10682,30000,2,3,2,34,-1,2,0,1,0,-1,29565,11395,17365,16496,19684,19504,3054,450,891,6065,1994,9078
10683,120000,1,3,1,48,0,-1,0,-1,-2,-1,46675,69965,140181,71368,118808,43373,3356,10943,37930,17082,27459,17637
10684,120000,2,2,1,28,0,1,4,0,0,0,62917,51729,121692,118827,134204,14358,23883,5599,56168,30011,6764,5292
10685,50000,1,1,1,21,0,0,-1,0,5,0,15709,60655,54339,39852,42865,59021,5046,19154,13963,7094,19719,25890
10686,500000,2,2,2,37,0,2,0,0,-2,0,550176,170659,487671,137679,312262,491524,38418,2242,218079,1667,111243,188242
10687,360000,2,2,2,39,-1,-1,-1,-1,3,1,199572,120684,412077,58723,250403,13136,33540,31527,177373,4563,84794,1200
10688,100000,2,3,3,52,-1,0,-1,1,2,-1,49971,51796,27985,106148,78655,23324,2711,6886,13428,10537,25178,5781
10689,30000,2,4,1,29,-2,-1,2,1,0,0,5180,8852,4947,36050,677,8603,2131,2691,1308,16696,208,4055
10690,50000,2,2,1,39,-1,0,2,-2,-1,3,29365,55688,43864,1497,43387,34000,6919,24498,12833,701,19289,2002
10691,80000,2,2,2,44,0,1,0,1,7,-1,85572,60014,3085,43739,77043,40014,29416,16470,926,17785,22015,18119
10692,120000,2,2,1,37,0,3,-1,0,0,1,148694,49833,65739,10740,18350,124783,64058,941,20591,4837,3270,31880
10693,80000,2,3,2,37,-1,-1,3,2,-1,0,17292,38074,56594,91708,32303,77803,5218,1783,16267,3395,11446,29409
10694,250000,2,3,1,22,2,-1,-2,1,0,-1,246316,180404,288101,240739,204293,113267,44375,17307,137225,88559,63949,43019
10695,120000,1,3,1,43,-2,-1,4,0,-2,-2,63468,37895,81199,74303,113714,102974,20701,12936,16732,20936,24426,23946
10696,360000,1,3,2,34,0,-1,-1,-1,-1,2,91845,187844,401705,378801,351096,231398,6663,18510,20069,75571,158748,82159
10697,1000000,2,2,2,55,-2,4,-1,0,-1,-1,1042837,255963,23856,1121234,446723,65098,123263,69143,3860,53213,71824,16571
10698,50000,2,2,2,46,0,0,0,-1,0,-1,2685,34392,20685,35361,1732,51949,1254,15610,8370,7083,728,14094
10699,200000,1,2,1,30,-1,-1,-1,2,-1,-1,185681,192192,172383,30927,188934,54443,79708,10442,74894,15174,84398,9429
10700,300000,1,2,2,29,2,-1,-1,0,-1,0,183664,210479,169550,185887,282432,58216,32517,87368,29753,88547,95021,17609
10701,500000,1,4,2,23,6,1,2,0,-1,0,584012,425307,16729,371264,506474,576217,150543,115955,1319,117931,49866,52110
10702,80000,2,4,1,34,4,0,-2,2,2,-1,96868,60623,81779,15410,50777,20474,18039,12804,5498,6554,9173,6139
10703,250000,1,3,2,44,-1,1,0,-1,-1,4,186728,222552,207622,219110,145297,167554,93222,89646,59375,91470,4229,50648
10704,10000,1,4,1,39,-1,-1,0,0,4,-1,5604,8167,14249,6906,10607,12781,1909,2527,6521,1583,3899,5880
10705,360000,1,5,2,46,0,-1,0,0,5,0,263577,119564,145218,386297,6665,365798,49187,49513,63460,166166,1579,110902
10706,20000,2,4,1,29,0,-1,5,-1,1,0,13107,15074,16388,4802,16999,7397,320,1119,6705,1749,7461,1496
10707,250000,2,2,1,45,0,2,-1,-2,-1,1,269890,32938,107550,35322,154642,123826,118554,16281,4459,17030,27028,22700
10708,1000000,1,1,1,34,2,-1,1,0,-1,3,264903,332100,836528,352049,78666,543410,82906,33309,307804,87308,541,235617
10709,120000,2,2,1,46,0,2,-1,1,-1,-1,-1404,118483,38282,132106,16832,37341,0,44473,15017,26686,4711,17004
10710,50000,2,3,2,21,-1,0,2,-1,0,0,53487,39232,59875,27144,35368,37159,25666,2109,5980,12336,14558,2695
10711,150000,2,2,1,28,0,-1,3,0,1,1,109906,71187,172562,16443,136211,35967,29685,29583,18855,2942,40274,11333
10712,200000,2,5,2,28,1,-1,-1,2,0,1,28314,94575,78250,66,22265,201594,111,18583,25124,19,2349,36194
10713,200000,2,3,1,42,-2,0,-1,1,-1,-1,218351,58551,104711,99161,237114,211474,97855,19179,3158,14968,116662,54346
10714,50000,1,3,2,21,3,0,-1,-1,-1,1,29746,45320,1950,38061,6526,-3067,58,15092,821,13191,1151,0
10715,360000,2,3,1,33,0,0,-1,4,-1,0,371492,134265,243190,79943,218133,56830,179241,2502,96535,34905,109052,13906
10716,200000,2,2,2,45,0,-1,-1,-1,-2,0,151029,205111,151563,215644,31402,3243,47826,39517,21090,55505,7537,472
10717,20000,2,3,1,41,0,-1,0,0,1,0,2196,7620,1795,26988,14629,23434,20,3509,520,8689,322,4560
10718,200000,2,2,2,35,-1,5,2,-1,0,-1,92453,40549,201991,43341,178003,173362,9371,4311,27021,2912,52612,45367
10719,50000,2,2,1,48,1,2,-1,0,1,-1,7854,24003,14082,49571,29752,-1983,127,6344,4484,14042,4754,0
10720,20000,2,2,1,38,0,1,2,0,0,0,3148,4837,5418,14329,2742,17605,470,1111,724,693,978,7326
10721,150000,1,2,1,37,-1,0,0,3,0,-1,148166,147877,13523,84167,33563,66334,42160,40531,6353,35847,3751,1853
10722,300000,1,2,2,32,-1,0,0,0,0,1,287405,254008,259514,349852,4258,21965,76371,32309,125045,90475,818,5840
10723,300000,2,4,2,51,-2,-1,1,1,-1,-2,223792,283440,66506,106684,66674,220021,40135,103113,27098,43104,29053,27950
10724,30000,2,2,1,49,2,-1,-2,-2,0,0,8308,14474,25345,8114,31376,35270,2369,2770,4131,1237,4587,10427
10725,200000,2,1,2,38,0,0,0,0,-1,0,214666,9082,216004,145765,117999,108857,10444,4164,89244,24644,50240,7286
10726,200000,1,2,2,38,0,-1,1,0,-1,-1,234727,156464,233997,203784,80420,188765,29572,20559,24606,92900,4479,8124
10727,80000,2,3,2,36,0,-1,-1,0,-1,2,-10425,41675,41047,56817,8422,13813,0,12677,18515,14386,2180,1445
10728,800000,1,2,1,35,0,0,-1,2,2,-1,560634,259184,768071,827092,651630,376734,212247,1673,248646,308688,165420,110159
10729,80000,2,3,2,33,4,-1,-1,0,-2,1,59738,78993,32972,64029,93340,15445,13468,12545,14923,4969,9489,5082
10730,20000,2,1,1,39,4,-1,0,-1,-1,-1,9858,11116,3902,17168,19286,-2027,4627,342,1489,5948,268,0
10731,120000,1,3,1,28,0,0,0,2,1,-1,114216,29292,2689,28736,130173,76119,49924,9190,786,6450,15277,3100
10732,200000,2,2,3,27,-1,-1,2,0,3,-1,214864,184780,65391,20851,206230,134802,10178,80950,24483,4975,27775,44644
10733,50000,1,3,2,27,-1,-1,2,0,1,0,3046,11828,2704,51699,61186,53014,1090,846,551,19500,13076,22438
10734,80000,1,3,2,43,2,-1,0,-1,3,0,80158,67111,11099,7827,1485,96142,2127,4965,2538,1880,41,4758
